Index,Company name,Rating,Company type,Sector,Old,Company location,Employees,Reviews
721,Morepen Laboratories,3.8, Public ,Pharma , 39 years old , Baddi +27 more, 1k-5k Employees ,294 Reviews
722,Electrosteel Casting,3.8, Public ,Building Material , 68 years old , Kolkata +15 more, 1k-5k Employees ,293 Reviews
723,BYJU'S Exam Prep,4.1, Startup ,EdTech , 8 years old , Noida +23 more, 501-1k Employees ,293 Reviews
724,EID Parry (India),4.2, Public ,FMCG , 235 years old , Chennai +27 more, 1k-5k Employees ,292 Reviews
725,Indraprastha Gas,4, Public ,Oil & Gas , 25 years old , New Delhi +17 more, 501-1k Employees ,291 Reviews
726,Phillips Carbon Black,3.8, Public ,Chemicals , 63 years old , Mundra +12 more, 501-1k Employees ,291 Reviews
727,Munjal Showa,3.5, Public ,Auto Components , 38 years old , Gurgaon/Gurugram +12 more, 1k-5k Employees ,291 Reviews
728,Majesco,3.8, Public ,IT Services & Consulting , 41 years old , Morristown +5 more, 1k-5k Employees ,290 Reviews
729,Sheela Foam,4.2, Public ,Furniture & Furnishing , 52 years old , Delhi/NCR +68 more, 1k-5k Employees ,290 Reviews
730,Agro Tech Foods,4.1, Public ,FMCG , 37 years old , Gurgaon/Gurugram +46 more, 501-1k Employees ,289 Reviews
731,Visaka Industries,4.2, Public ,Building Material , 42 years old , Hyderabad/Secunderabad +42 more, 1k-5k Employees ,289 Reviews
732,Ralson India,3.8, Public ,Auto Components , 49 years old , Delhi/NCR +38 more, 501-1k Employees ,289 Reviews
733,Ge T & D India,4.3, Public ,Electrical Equipment , 66 years old , Henderson +24 more, 201-500 Employees ,288 Reviews
734,HealthifyMe,3.3, Startup ,Healthcare , 11 years old , Bengaluru/Bangalore +9 more, 201-500 Employees ,288 Reviews
735,Ge T & D India,4.3, Public ,Electrical Equipment , 66 years old , Noida +24 more, 201-500 Employees ,288 Reviews
736,Ramco Industries,4.2, Public ,Building Material , 31 years old , Chennai +52 more, 1k-5k Employees ,287 Reviews
737,Kuwait National Petroleum Company,4.4, Public ,Oil & Gas , 63 years old , Kuwait City +14 more, 51-200 Employees ,287 Reviews
738,Alcon,3.5, Public ,Healthcare , 78 years old , Bengaluru/Bangalore +30 more, 1k-5k Employees ,287 Reviews
739,Galaxy Surfactants,3.6, Public ,Chemicals , 43 years old , Navi Mumbai +10 more, 1k-5k Employees ,287 Reviews
740,RSWM,4.1, Public ,Fashion & Textile , 62 years old , Bhilwara +27 more, 10k-50k Employees ,286 Reviews
741,RSWM,4.1, Public ,Fashion & Textile , 62 years old , Noida +27 more, 10k-50k Employees ,286 Reviews
742,Nowfloats Technologies,3.6, Startup ,Software Product , 11 years old , Hyderabad +38 more, 201-500 Employees ,285 Reviews
743,Mrs Bector's Food Specialities,4, Public ,FMCG , 45 years old , Gurgaon +40 more, 1k-5k Employees ,285 Reviews
744,Kolte Patil Developers,4, Public ,Real Estate , 32 years old , Pune +7 more, 1k-5k Employees ,285 Reviews
745,Eli Lilly and Company,4.2, Public ,Healthcare , 30 years old , Indianapolis +18 more, 201-500 Employees ,285 Reviews
746,Balmer Lawrie,3.8, Central ,Power , 156 years old , Kolkata +27 more, 1k-5k Employees ,283 Reviews
747,Venus Remedies,4.1, Public ,Pharma , 34 years old , Panchkula +29 more, 501-1k Employees ,283 Reviews
748,Allcargo Logistics,4.1, Public ,Logistics , 30 years old , Mumbai +39 more, 501-1k Employees ,281 Reviews
749,Alankit,3.1, Public ,FinTech , 32 years old , Delhi/NCR +35 more, 1k-5k Employees ,281 Reviews
750,Electronica Finance,3.8, Public ,NBFC , 33 years old , Pune +76 more, 501-1k Employees ,280 Reviews
751,Ceinsys Tech,3.9, Public ,IT Services & Consulting , 25 years old , Nagpur +35 more, 501-1k Employees ,280 Reviews
752,You Broadband,3.8, Public ,Telecom , 22 years old , Mumbai +27 more, 1k-5k Employees ,279 Reviews
753,Ryan International School,3.7, Public ,Education & Training , 31 years old , Mumbai +38 more, 10k-50k Employees ,279 Reviews
754,Oda Class,3.8, Startup ,EdTech , 6 years old , Bengaluru/Bangalore +6 more, 1k-5k Employees ,279 Reviews
755,GoMechanic,3.7, Startup ,Internet , 7 years old , Gurgaon +26 more, 501-1k Employees ,279 Reviews
756,Cera Sanitaryware,4.2, Public ,Building Material , 43 years old , London +52 more, 1k-5k Employees ,278 Reviews
757,JNS Instruments,3.9, Public ,Industrial Machinery , 22 years old , Gurgaon +14 more, 501-1k Employees ,278 Reviews
758,Jamna Auto Industries,3.5, Public ,Auto Components , 69 years old , Yamunanagar +27 more, 1k-5k Employees ,277 Reviews
759,Wonderla Holidays,4.6, Public ,Hospitality , 23 years old , Bangalore/Bengaluru +11 more, 501-1k Employees ,277 Reviews
760,Aarti Drugs,3.9, Public ,Pharma , 39 years old , Mumbai +10 more, 201-500 Employees ,277 Reviews
761,Elecon Engineering,4.1, Public ,Electrical Equipment , 72 years old , Gujrat +20 more, 501-1k Employees ,276 Reviews
762,Jyoti CNC Automation,3.9, Public ,Industrial Machinery , 34 years old , Rajkot +25 more, 501-1k Employees ,276 Reviews
763,Bhagwati Products,3.7, Public ,Consumer Electronics & Appliances , 21 years old , Delhi/NCR +14 more, 11-50 Employees ,276 Reviews
764,India Nippon Electricals,4, Public ,Auto Components , 39 years old , Hosur +17 more, 501-1k Employees ,276 Reviews
765,IOCL Refinery,4.4, Public ,Oil & Gas , 64 years old , New Delhi +33 more, 1k-5k Employees ,274 Reviews
766,Kirloskar Ferrous Industries,4, Public ,Iron & Steel , 32 years old , Koppal +11 more, 1k-5k Employees ,273 Reviews
767,APL Apollo Tubes,3.9, Public ,Building Material , 37 years old , Delhi/NCR +32 more, 1k-5k Employees ,273 Reviews
768,ELGI Equipments,3.9, Public ,Industrial Machinery , 63 years old , Coimbatore +24 more, 1k-5k Employees ,273 Reviews
769,India Glycols,4, Public ,Chemicals , 40 years old , Noida +12 more, 1k-5k Employees ,271 Reviews
770,Eisai Pharmaceuticals,4.2, Public ,Pharma , 19 years old , Tokyo +15 more, 201-500 Employees ,271 Reviews
771,Eisai Pharmaceuticals,4.2, Public ,Pharma , 19 years old , Tokyo +15 more, 201-500 Employees ,271 Reviews
772,Brigade Group,4, Public ,Real Estate , 37 years old , Bangalore/Bengaluru +8 more, 501-1k Employees ,270 Reviews
773,ASM Technologies,3.6, Public ,IT Services & Consulting , 31 years old , Bangalore/Bengaluru +17 more, 501-1k Employees ,270 Reviews
774,Artemis Health Institute,4.4, Public ,Healthcare , 16 years old , Gurgaon/Gurugram +10 more, 1k-5k Employees ,270 Reviews
