Index,Company name,Rating,Company type,Sector,Old,Company location,Employees,Reviews
0,TCS,3.8, Public ,IT Services & Consulting , 55 years old , Mumbai +280 more, 1 Lakh+ Employees ,62.2k Reviews
1,Accenture,4.1, Public ,IT Services & Consulting , 34 years old , Dublin +141 more, 1 Lakh+ Employees ,39.7k Reviews
2,Wipro,3.8, Public ,IT Services & Consulting , 78 years old , Bangalore/Bengaluru +243 more, 1 Lakh+ Employees ,29.8k Reviews
3,ICICI Bank,4, Public ,Banking , 29 years old , Mumbai +1183 more, 1 Lakh+ Employees ,29.4k Reviews
4,HDFC Bank,3.9, Public ,Banking , 29 years old , Mumbai +1413 more, 1 Lakh+ Employees ,28.9k Reviews
5,Infosys,3.9, Public ,IT Services & Consulting , 42 years old , Bengaluru/Bangalore +135 more, 1 Lakh+ Employees ,27.2k Reviews
6,Capgemini,3.9, Public ,IT Services & Consulting , 56 years old , Paris +87 more, 1 Lakh+ Employees ,25.2k Reviews
7,Tech Mahindra,3.7, Public ,IT Services & Consulting , 37 years old , Pune +232 more, 1 Lakh+ Employees ,23.7k Reviews
8,HCLTech,3.7, Public ,IT Services & Consulting , 32 years old , Noida +150 more, 1 Lakh+ Employees ,22.9k Reviews
9,Genpact,4, Public ,IT Services & Consulting , 26 years old , New York +79 more, 50k-1 Lakh Employees ,22.9k Reviews
10,Axis Bank,3.8, Public ,Banking , 30 years old , Mumbai +1216 more, 50k-1 Lakh Employees ,19.4k Reviews
11,Concentrix Corporation,3.9, Public ,BPO , 40 years old , Fremont +82 more, 10k-50k Employees ,18.2k Reviews
12,Amazon,4.2, Public ,Internet , 29 years old , Seattle +390 more, 1 Lakh+ Employees ,17.6k Reviews
13,IBM,4.1, Public ,Software Product , 112 years old , Armonk +129 more, 50k-1 Lakh Employees ,17.5k Reviews
14,Reliance Jio,4, Public ,Telecom , 16 years old , Navi Mumbai +1084 more, 50k-1 Lakh Employees ,17.5k Reviews
15,Larsen & Toubro Limited,4, Public ,Engineering & Construction , 85 years old , Mumbai +572 more, 1 Lakh+ Employees ,16.6k Reviews
16,Vodafone Idea,4.2, Public ,Telecom , 5 years old , Gandhinagar +596 more, 10k-50k Employees ,14.2k Reviews
17,Kotak Mahindra Bank,3.8, Public ,Banking , 20 years old , Mumbai +505 more, 10k-50k Employees ,12.2k Reviews
18,Bharti Airtel,4, Public ,Telecom , 28 years old , Gurgaon/Gurugram +589 more, 10k-50k Employees ,10.7k Reviews
19,Tata Motors,4.2, Public ,Automobile , 78 years old , Pune +415 more, 10k-50k Employees ,9.9k Reviews
20,Flipkart,4.1, Public ,Internet , 16 years old , Bangalore +490 more, 10k-50k Employees ,8.6k Reviews
21,IndusInd Bank,3.7, Public ,Banking , 29 years old , Gurgaon/Gurugram +625 more, 10k-50k Employees ,7.9k Reviews
22,Mahindra & Mahindra,4.2, Public ,Automobile , 78 years old , Mumbai +439 more, 1 Lakh+ Employees ,7.8k Reviews
23,DXC Technology,3.9, Public ,IT Services & Consulting , 6 years old , Minato +59 more, 10k-50k Employees ,7.2k Reviews
24,IDFC FIRST Bank,4, Public ,Banking , 5 years old , Mumbai +493 more, 10k-50k Employees ,6.8k Reviews
25,Maruti Suzuki,4.2, Public ,Automobile , 40 years old , New Delhi +392 more, 10k-50k Employees ,6.6k Reviews
26,Bajaj Finserv,4, Public ,Insurance , 16 years old , Pune +776 more, 10k-50k Employees ,6.3k Reviews
27,Hinduja Global Solutions,4, Public ,Software Product , 23 years old , Bangalore/Bengaluru +85 more, 10k-50k Employees ,6.3k Reviews
28,Startek,3.2, Public ,BPO , 6 years old , Mumbai +58 more, 10k-50k Employees ,6k Reviews
29,Mphasis,3.6, Public ,IT Services & Consulting , 25 years old , Bangalore/Bengaluru +41 more, 10k-50k Employees ,5.9k Reviews
30,HDFC Life,4.1, Public ,Insurance , 1 years old , Mumbai +475 more, 10k-50k Employees ,5.6k Reviews
31,Yes Bank,3.9, Public ,Banking , 19 years old , Mumbai +406 more, 10k-50k Employees ,5.5k Reviews
32,Dr. Reddy's,4.2, Public ,Pharma , 39 years old , Hyderabad/Secunderabad +149 more, 10k-50k Employees ,5.5k Reviews
33,Asian Paints,4.1, Public ,Chemicals , 81 years old , Mumbai +374 more, 10k-50k Employees ,5.5k Reviews
34,Cipla Pharmaceutical,4.1, Public ,Pharma , 88 years old , Mumbai +202 more, 10k-50k Employees ,5.4k Reviews
35,Jana Small Finance Bank,3.8, Public ,Banking , 17 years old , Bangalore/Bengaluru +327 more, 10k-50k Employees ,5k Reviews
36,ICICI Prudential Life Insurance,4.1, Public ,Insurance , 23 years old , Mumbai +425 more, 10k-50k Employees ,5k Reviews
37,UltraTech Cement,4.2, Public ,Building Material , 40 years old , Mumbai +390 more, 10k-50k Employees ,4.9k Reviews
38,Lupin,4.1, Public ,Pharma , 55 years old , Mumbai +148 more, 10k-50k Employees ,4.9k Reviews
39,Bandhan Bank,3.8, Public ,Banking , 22 years old , Kolkata +657 more, 50k-1 Lakh Employees ,4.7k Reviews
40,Paytm,3.5, Public ,FinTech , 13 years old , Noida +268 more, 5k-10k Employees ,4.7k Reviews
41,L&T Infotech,3.8, Public ,IT Services & Consulting , 27 years old , Mumbai +72 more, 10k-50k Employees ,4.6k Reviews
42,ITC,3.9, Public ,FMCG , 48 years old , Kolkata +270 more, 10k-50k Employees ,4.5k Reviews
43,Indian Army,4.7, Public ,Defence & Aerospace , 128 years old , New Delhi +292 more, 1 Lakh+ Employees ,4.5k Reviews
44,Mindtree,4, Public ,IT Services & Consulting , 24 years old , Bangalore/Bengaluru +28 more, 10k-50k Employees ,4.4k Reviews
45,Hindustan Unilever,4.2, Public ,FMCG , 90 years old , Mumbai +396 more, 10k-50k Employees ,4.4k Reviews
46,Ujjivan Small Finance Bank,4.1, Public ,Banking , 6 years old , Bangalore/Bengaluru +400 more, 10k-50k Employees ,4.4k Reviews
47,Wells Fargo,4.2, Public ,Banking , 171 years old , San Francisco +18 more, 10k-50k Employees ,4.3k Reviews
48,IIFL Finance,3.8, Public ,Financial Services , 28 years old , Mumbai +590 more, 10k-50k Employees ,4.3k Reviews
49,Quess,3.9, Public ,Recruitment , 16 years old , Bangalore +446 more, 1 Lakh+ Employees ,4.1k Reviews
50,TATA Steel,4.1, Public ,Iron & Steel , 116 years old , Mumbai +136 more, 1 Lakh+ Employees ,4k Reviews
51,Sun Pharmaceutical Industries,4.1, Public ,Pharma , 40 years old , Mumbai +172 more, 10k-50k Employees ,4k Reviews
52,OPPO,3.9, Public ,Consumer Electronics & Appliances , 19 years old , Dongguan +351 more, 10k-50k Employees ,3.9k Reviews
53,JSW Steel,3.9, Public ,Iron & Steel , 41 years old , Mumbai +113 more, 10k-50k Employees ,3.9k Reviews
54,Ashok Leyland,4.1, Public ,Automobile , 75 years old , Chennai +200 more, 10k-50k Employees ,3.9k Reviews
55,Shriram Transport Finance,4.1, Public ,NBFC , 44 years old , Mumbai +737 more, 10k-50k Employees ,3.9k Reviews
56,Aurobindo Pharma,4, Public ,Pharma , 37 years old , Hyderabad/Secunderabad +56 more, 10k-50k Employees ,3.8k Reviews
57,Muthoot Finance,3.6, Public ,NBFC , 84 years old , Kochi/Cochin +555 more, 10k-50k Employees ,3.8k Reviews
58,eClerx,3.5, Public ,IT Services & Consulting , 23 years old , Mumbai +15 more, 10k-50k Employees ,3.8k Reviews
59,Oracle,3.9, Public ,Software Product , 46 years old , Austin +37 more, 50k-1 Lakh Employees ,3.8k Reviews
60,Zydus Cadila,4.2, Public ,Pharma , 71 years old , Ahmedabad +121 more, 10k-50k Employees ,3.8k Reviews
61,Siemens,4.2, Public ,Power , 176 years old , Munich +114 more, 5k-10k Employees ,3.8k Reviews
62,Apollo Hospitals,4.1, Public ,Healthcare , 40 years old , Chennai +168 more, 50k-1 Lakh Employees ,3.8k Reviews
63,Mahindra & Mahindra Financial Services,4.3, Public ,NBFC , 32 years old , Mumbai +604 more, 10k-50k Employees ,3.8k Reviews
64,Tata Projects,4.2, Public ,Engineering & Construction , 44 years old , Mumbai +221 more, 10k-50k Employees ,3.7k Reviews
65,First Source,3.9, Public ,BPO , 22 years old , Mumbai +49 more, 10k-50k Employees ,3.6k Reviews
66,Hero MotoCorp,4.2, Public ,Automobile , 39 years old , Gurgaon/Gurugram +288 more, 5k-10k Employees ,3.6k Reviews
67,JustDial,3.6, Public ,Internet , 27 years old , Mumbai +153 more, 10k-50k Employees ,3.6k Reviews
68,Cyient,3.7, Public ,IT Services & Consulting , 32 years old , Hyderabad/Secunderabad +27 more, 10k-50k Employees ,3.4k Reviews
69,L&T Construction,4, Public ,Engineering & Construction , 79 years old , Chennai +285 more, 10k-50k Employees ,3.4k Reviews
70,Reliance Communications,3.9, Public ,Telecom , 21 years old , Navi Mumbai +395 more, 10k-50k Employees ,3.3k Reviews
71,TVS Motor,4, Public ,Automobile , 44 years old , Chennai +250 more, 10k-50k Employees ,3.3k Reviews
72,Bosch,4.3, Public ,Auto Components , 137 years old , Gerlingen +92 more, 10k-50k Employees ,3.2k Reviews
73,Manappuram Finance,3.9, Public ,NBFC , 74 years old , Thrissur/Trichur +447 more, 10k-50k Employees ,3.1k Reviews
74,Coforge,3.6, Public ,IT Services & Consulting , 19 years old , Noida +78 more, 10k-50k Employees ,3k Reviews
75,ICICI Lombard General Insurance Company,3.8, Public ,Insurance , 22 years old , Mumbai +229 more, 10k-50k Employees ,3k Reviews
76,JBM Group,4, Public ,Auto Components , 40 years old , Gurgaon/Gurugram +75 more, 10k-50k Employees ,2.9k Reviews
77,Bajaj Auto,3.9, Public ,Automobile , 78 years old , Pune +223 more, 5k-10k Employees ,2.8k Reviews
78,Samvardhana Motherson Group,3.8, Public ,Auto Components , 37 years old , Noida +67 more, 5k-10k Employees ,2.8k Reviews
79,KEC International,4.1, Public ,Real Estate , 78 years old , Mumbai +241 more, 5k-10k Employees ,2.7k Reviews
80,Nagarjuna Construction Company,4.1, Public ,Engineering & Construction , 25 years old , Hyderabad/Secunderabad +198 more, 1k-5k Employees ,2.7k Reviews
81,L&T Technology Services,3.4, Public ,IT Services & Consulting , 11 years old , Vadodara/Baroda +33 more, 10k-50k Employees ,2.7k Reviews
82,Tata Communications,4.2, Public ,Telecom , 37 years old , Mumbai +82 more, 5k-10k Employees ,2.7k Reviews
83,LG Electronics,4, Public ,Consumer Electronics & Appliances , 65 years old , Seoul +223 more, 10k-50k Employees ,2.6k Reviews
84,L&T Finance,4, Public ,NBFC , 29 years old , Mumbai +438 more, 10k-50k Employees ,2.6k Reviews
85,Whitehat jr,3.6, Startup ,EdTech , 5 years old , Mumbai +47 more, 5k-10k Employees ,2.6k Reviews
86,Varun Beverages,4, Public ,Beverage , 28 years old , Gurgaon/Gurugram +245 more, 10k-50k Employees ,2.5k Reviews
87,Thermax Limited,4.2, Public ,Industrial Machinery , 43 years old , Pune +144 more, 5k-10k Employees ,2.5k Reviews
88,Ford Motor,4.5, Public ,Automobile , 120 years old , Dearborn +101 more, 5k-10k Employees ,2.5k Reviews
89,Subros,4, Public ,Auto Components , 38 years old , Noida +38 more, 1k-5k Employees ,2.5k Reviews
90,Macleods Pharmaceuticals,3.8, Public ,Pharma , 37 years old , Mumbai +82 more, 5k-10k Employees ,2.5k Reviews
91,Abbott Healthcare,4.2, Public ,Pharma , 32 years old , Illinois City +159 more, 1k-5k Employees ,2.5k Reviews
92,Havells,4.1, Public ,Electrical Equipment , 40 years old , Noida +156 more, 5k-10k Employees ,2.4k Reviews
93,Pidilite Industries,4.3, Public ,Chemicals , 64 years old , Mumbai +201 more, 5k-10k Employees ,2.3k Reviews
94,Alkem Laboratories,4, Public ,Pharma , 50 years old , Mumbai +134 more, 10k-50k Employees ,2.3k Reviews
95,Alembic Pharmaceuticals,4, Public ,Pharma , 116 years old , Vadodara/Baroda +129 more, 10k-50k Employees ,2.3k Reviews
96,Team Lease,3.9, Public ,Recruitment , 7 years old , Bangalore/Bengaluru +255 more, 1k-5k Employees ,2.3k Reviews
97,Wipro Infotech,4.1, MNC ,IT Services & Consulting , 78 years old , Bangalore +116 more, 1 Lakh+ Employees (Global) ,2.3k Reviews
98,Hindalco Industries,4.2, Public ,Metals & Mining , 65 years old , Mumbai +72 more, 10k-50k Employees ,2.3k Reviews
99,Persistent Systems,3.9, Public ,IT Services & Consulting , 33 years old , Pune +17 more, 10k-50k Employees ,2.3k Reviews
100,Glenmark Pharmaceuticals,4, Public ,Pharma , 46 years old , Mumbai +119 more, 501-1k Employees ,2.2k Reviews
101,CMS IT Services,3.2, Startup ,IT Services & Consulting , 9 years old , Bangalore +135 more, 5k-10k Employees ,2.2k Reviews
102,ABB Group,4.1, Public ,Electrical Equipment , 35 years old , Zurich +88 more, 10k-50k Employees ,2.2k Reviews
103,Ipca Laboratories,4, Public ,Pharma , 74 years old , Mumbai +104 more, 10k-50k Employees ,2.2k Reviews
104,MRF Tyres,3.7, Public ,Auto Components , 77 years old , Chennai +160 more, 10k-50k Employees ,2.2k Reviews
105,Aarti Industries,4.1, Public ,Chemicals , 48 years old , Mumbai +37 more, 5k-10k Employees ,2.2k Reviews
106,Indiabulls Home Loans,3.8, Public ,NBFC , 18 years old , Gurgaon/Gurugram +175 more, 5k-10k Employees ,2.2k Reviews
107,Biocon,3.9, Public ,Biotechnology , 45 years old , Bangalore/Bengaluru +58 more, 10k-50k Employees ,2.2k Reviews
108,Utkarsh Small Finance Bank,3.9, Public ,Banking , 14 years old , Varanasi +265 more, 10k-50k Employees ,2.1k Reviews
109,Shoppers Stop,4.2, Public ,Retail , 32 years old , Mumbai +59 more, 5k-10k Employees ,2.1k Reviews
110,Ceat Tyres,4, Public ,Auto Components , 65 years old , Mumbai +98 more, 5k-10k Employees ,2.1k Reviews
111,Berger Paints,3.7, Public ,Chemicals , 100 years old , Kolkata +204 more, 1k-5k Employees ,2.1k Reviews
112,Suzlon Group,4.1, Public ,Power , 28 years old , Pune +97 more, 5k-10k Employees ,2.1k Reviews
113,HDFC Ergo General Insurance,4, Public ,Insurance , 21 years old , Mumbai +203 more, 5k-10k Employees ,2.1k Reviews
114,RBL Bank,3.7, Public ,Banking , 80 years old , Mumbai +192 more, 1k-5k Employees ,2.1k Reviews
115,Dabur,3.9, Public ,FMCG , 139 years old , Ghaziabad +216 more, 5k-10k Employees ,2.1k Reviews
116,Escorts Kubota Limited,4.1, Public ,Automobile , 63 years old , Faridabad +116 more, 10k-50k Employees ,2.1k Reviews
117,PolicyBazaar,3.5, Public ,FinTech , 15 years old , Gurgaon +59 more, 5k-10k Employees ,2.1k Reviews
118,Kotak Mahindara Life Insurance,3.8, Public ,Insurance , 22 years old , Mumbai +185 more, 10k-50k Employees ,2.1k Reviews
119,ACC,4, Public ,Building Material , 87 years old , Mumbai +195 more, 5k-10k Employees ,2k Reviews
120,JK Cement,4.1, Public ,Building Material , 49 years old , Gurgaon/Gurugram +203 more, 1k-5k Employees ,2k Reviews
121,Simplex Infrastructures,3.3, Public ,Engineering & Construction , 99 years old , Kolkata +128 more, 1k-5k Employees ,2k Reviews
122,Bajaj Electricals,4.1, Public ,Consumer Electronics & Appliances , 85 years old , Mumbai +178 more, 1k-5k Employees ,2k Reviews
123,Torrent Pharmaceuticals,3.9, Public ,Pharma , 52 years old , Ahmedabad +90 more, 10k-50k Employees ,2k Reviews
124,Arvind Group,4.1, Public ,Fashion & Textile , 92 years old , Ahmedabad +120 more, 10k-50k Employees ,2k Reviews
125,Titan Company,4.4, Public ,Other , 5 years old , Mumbai +126 more, 5k-10k Employees ,2k Reviews
126,Dilip Buildcon,4, Public ,Engineering & Construction , 36 years old , Bhopal +168 more, 10k-50k Employees ,2k Reviews
127,Jubilant Foods Works,3.8, Public ,Retail , 28 years old , Noida +168 more, 10k-50k Employees ,2k Reviews
128,UPL,4.1, Public ,Agro Chemicals , 54 years old , Mumbai +136 more, 1k-5k Employees ,1.9k Reviews
129,KPIT Technologies,3.6, Public ,Software Product , 33 years old , Pune +23 more, 5k-10k Employees ,1.9k Reviews
130,Lava International,4.1, Public ,Telecom , 14 years old , Noida +205 more, 1k-5k Employees ,1.9k Reviews
131,Apollo Tyres,4.1, Public ,Auto Components , 51 years old , Gurgaon/Gurugram +143 more, 5k-10k Employees ,1.9k Reviews
132,Domino's Pizza,4, Public ,Hospitality , 63 years old , Ypsilanti +204 more, 1k-5k Employees ,1.9k Reviews
133,Reliance SMSL,4, Public ,BPO , 16 years old , Mumbai +436 more, 1k-5k Employees ,1.9k Reviews
134,Birlasoft,3.7, Public ,IT Services & Consulting , 28 years old , Pune +30 more, 10k-50k Employees ,1.9k Reviews
135,S&P Global,4.2, Public ,IT Services & Consulting , 106 years old , New York City +18 more, 5k-10k Employees ,1.9k Reviews
136,Tech Mahindra Business Services,3.5, Public ,BPO , 20 years old , Mumbai +38 more, 1k-5k Employees ,1.9k Reviews
137,Tractors and Farm Equipment,4.1, Public ,Automobile , 63 years old , Chennai +147 more, 5k-10k Employees ,1.8k Reviews
138,Zensar Technologies,3.8, Public ,IT Services & Consulting , 22 years old , Pune +20 more, 5k-10k Employees ,1.8k Reviews
139,Fortis Healthcare,4, Public ,Healthcare , 27 years old , Gurgaon/Gurugram +55 more, 5k-10k Employees ,1.8k Reviews
140,Nestle,4.1, Public ,Food Processing , 64 years old , Vevey +205 more, 5k-10k Employees ,1.8k Reviews
141,Blue Dart Express,4.1, Public ,Logistics , 40 years old , Mumbai +216 more, 10k-50k Employees ,1.8k Reviews
142,Future Retail,4.3, Public ,Retail , 36 years old , San Francisco +194 more, 10k-50k Employees ,1.7k Reviews
143,Voltas,4, Public ,Consumer Electronics & Appliances , 69 years old , Mumbai +153 more, 1k-5k Employees ,1.7k Reviews
144,JMC Projects,4.2, Public ,Engineering & Construction , 41 years old , Mumbai +111 more, 1k-5k Employees ,1.7k Reviews
145,Tata Teleservices,4.1, Public ,Telecom , 27 years old , Mumbai +145 more, 201-500 Employees ,1.7k Reviews
146,Britannia,4.1, Public ,Food Processing , 131 years old , Reading +195 more, 5k-10k Employees ,1.7k Reviews
147,Exide Industries,3.5, Public ,Auto Components , 76 years old , Kolkata +168 more, 1k-5k Employees ,1.7k Reviews
148,Grasim Industries,4, Public ,Building Material , 76 years old , Nagda +71 more, 10k-50k Employees ,1.6k Reviews
149,Ajanta Pharma,4, Public ,Pharma , 50 years old , Mumbai +88 more, 5k-10k Employees ,1.6k Reviews
150,Shree Cement,4.1, Public ,Building Material , 44 years old , Kolkata +159 more, 5k-10k Employees ,1.6k Reviews
151,Blue Star,4.1, Public ,Consumer Electronics & Appliances , 80 years old , Mumbai +120 more, 1k-5k Employees ,1.6k Reviews
152,Sterlite Technologies,3.9, Public ,Hardware & Networking , 35 years old , Pune +64 more, 1k-5k Employees ,1.6k Reviews
153,Pfizer,4.1, Public ,Pharma , 19 years old , Chennai +107 more, 1k-5k Employees ,1.6k Reviews
154,Dalmia Bharat Cement,4.1, Public ,Building Material , 88 years old , Delhi/NCR +166 more, 5k-10k Employees ,1.6k Reviews
155,Johnson Controls,3.4, Public ,Industrial Automation , 28 years old , Cork +43 more, 1k-5k Employees ,1.6k Reviews
156,Delhi Public School,3.9, Public ,Education & Training , 25 years old , Greater Noida +221 more, 1k-5k Employees ,1.6k Reviews
157,TVS Credit,4.3, Public ,NBFC , 15 years old , Chennai +236 more, 10k-50k Employees ,1.6k Reviews
158,CG Power and Industrial Solutions,3.8, Public ,Electrical Equipment , 86 years old , Mumbai +98 more, 1k-5k Employees ,1.6k Reviews
159,Mahindra Logistics,4.1, Public ,Logistics , 23 years old , Mumbai +109 more, 1k-5k Employees ,1.5k Reviews
160,PVR Cinemas,4.1, Public ,Media & Entertainment , 26 years old , Gurgaon +94 more, 5k-10k Employees ,1.5k Reviews
161,HCL Infosystems,3.9, Public ,IT Services & Consulting , 47 years old , Noida +105 more, 51-200 Employees ,1.5k Reviews
162,Datamatics Global Services,3.6, Public ,IT Services & Consulting , 48 years old , Mumbai +25 more, 1k-5k Employees ,1.5k Reviews
163,Raymond,4.1, Public ,Fashion & Textile , 98 years old , New York +113 more, 5k-10k Employees ,1.5k Reviews
164,V-Mart,4.2, Public ,Retail , 21 years old , Gurgaon/Gurugram +219 more, 5k-10k Employees ,1.5k Reviews
165,Zomato,3.7, Public ,Internet , 15 years old , Gurgaon +155 more, 1k-5k Employees ,1.5k Reviews
166,Kalpataru Power Transmission,4.1, Public ,Power , 42 years old , Mumbai +194 more, 1k-5k Employees ,1.5k Reviews
167,Indian Railways,4.1, Central ,Railways , 170 years old , Delhi/NCR +191 more, 1 Lakh+ Employees ,1.5k Reviews
168,Poonawalla Fincorp,3.9, Public ,NBFC , 35 years old , Mumbai +242 more, 5k-10k Employees ,1.5k Reviews
169,Ambuja Cements,3.9, Public ,Building Material , 40 years old , Mumbai +175 more, 5k-10k Employees ,1.5k Reviews
170,SRF,4.3, Public ,Chemicals , 53 years old , Gurgaon/Gurugram +42 more, 5k-10k Employees ,1.5k Reviews
171,Info Edge,4.1, Public ,Internet , 28 years old , Noida +53 more, 1k-5k Employees ,1.5k Reviews
172,Whirlpool,4.1, Public ,Consumer Electronics & Appliances , 112 years old , Michigan +128 more, 1k-5k Employees ,1.4k Reviews
173,Shriram City,4.1, Public ,Financial Services , 37 years old , Chennai +404 more, 10k-50k Employees ,1.4k Reviews
174,Kansai Nerolac Paints,3.9, Public ,Chemicals , 103 years old , Mumbai +138 more, 1k-5k Employees ,1.4k Reviews
175,Shell,4.3, Public ,Oil & Gas , 19 years old , London +74 more, 10k-50k Employees ,1.4k Reviews
176,Force Motors,3.4, Public ,Automobile , 65 years old , Pune +78 more, 1k-5k Employees ,1.4k Reviews
177,Cadila Pharmaceuticals,3.3, Public ,Pharma , 72 years old , Ahmedabad +100 more, 5k-10k Employees ,1.4k Reviews
178,ITC Hotels,4.1, Public ,Hospitality , 48 years old , Kolkata +69 more, 5k-10k Employees ,1.4k Reviews
179,3i Infotech,3.6, Public ,IT Services & Consulting , 30 years old , Mumbai +96 more, 1k-5k Employees ,1.4k Reviews
180,Endurance Technologies,3.8, Public ,Auto Components , 38 years old , Aurangabad +35 more, 1k-5k Employees ,1.4k Reviews
181,Sobha,4, Public ,Real Estate , 28 years old , Bangalore/Bengaluru +34 more, 1k-5k Employees ,1.4k Reviews
182,Syngene International,3.9, Public ,Pharma , 30 years old , Bangalore/Bengaluru +12 more, 1k-5k Employees ,1.4k Reviews
183,Coromandel International,4.1, Public ,Agriculture , 62 years old , Hyderabad/Secunderabad +136 more, 5k-10k Employees ,1.4k Reviews
184,Aavas Financiers,4, Public ,Financial Services , 12 years old , Jaipur +213 more, 5k-10k Employees ,1.4k Reviews
185,Mahindra Rural Housing Finance,4.1, Public ,Financial Services , 16 years old , Mumbai +347 more, 5k-10k Employees ,1.3k Reviews
186,Gabriel India,4.2, Public ,Auto Components , 62 years old , Pune +34 more, 1k-5k Employees ,1.3k Reviews
187,Tata Elxsi,4, Public ,IT Services & Consulting , 34 years old , Bangalore/Bengaluru +18 more, 10k-50k Employees ,1.3k Reviews
188,Indian Navy,4.6, Central ,Defence & Aerospace , 73 years old , Delhi/NCR +55 more, 50k-1 Lakh Employees ,1.3k Reviews
189,Care Health Insurance,3.8, Public ,Internet , 11 years old , Gurgaon +173 more, 5k-10k Employees ,1.3k Reviews
190,Ninjacart,3.9, Startup ,Logistics , 8 years old , Bangalore +85 more, 1k-5k Employees ,1.3k Reviews
191,Adani Wilmar,4.2, Public ,FMCG , 24 years old , Ahmedabad +127 more, 1k-5k Employees ,1.3k Reviews
192,Power Mech Projects,3.8, Public ,Engineering & Construction , 16 years old , Hyderabad/Secunderabad +101 more, 1k-5k Employees ,1.3k Reviews
193,TVS Sundram Fasteners,3.7, Public ,Auto Components , 61 years old , Chennai +36 more, 1k-5k Employees ,1.3k Reviews
194,Cisco,4.4, Public ,IT Services & Consulting , 39 years old , San Jose +30 more, 10k-50k Employees ,1.3k Reviews
195,Uflex,3.8, Public ,Packaging , 38 years old , Noida +40 more, 5k-10k Employees ,1.3k Reviews
196,Jindal Stainless,4.2, Public ,Iron & Steel , 53 years old , Delhi/NCR +40 more, 1k-5k Employees ,1.3k Reviews
197,Tata Capital Financial Services,4.2, Public ,Financial Services , 16 years old , Mumbai +136 more, 1k-5k Employees ,1.3k Reviews
198,Wockhardt,3.9, Public ,Pharma , 24 years old , Mumbai +70 more, 5k-10k Employees ,1.3k Reviews
199,IDBI Bank,3.8, Public ,Banking , 59 years old , Mumbai +255 more, 10k-50k Employees ,1.3k Reviews
200,Laurus Labs,4.2, Public ,Pharma , 18 years old , Hyderabad/Secunderabad +11 more, 1k-5k Employees ,1.3k Reviews
201,G R Infraprojects,4.1, Public ,Engineering & Construction , 28 years old , Udaipur +121 more, 10k-50k Employees ,1.2k Reviews
202,Dr Lal PathLabs,4.2, Public ,Healthcare , 74 years old , Gurgaon/Gurugram +126 more, 1k-5k Employees ,1.2k Reviews
203,Tata Play,4.1, Public ,Broadcasting , 17 years old , Mumbai +174 more, 5k-10k Employees ,1.2k Reviews
204,Honeywell Automation,3.9, Public ,Consumer Electronics & Appliances , 117 years old , Morris Plains +55 more, 10k-50k Employees ,1.2k Reviews
205,Intellect Design Arena,4, Public ,FinTech , 9 years old , Chennai +23 more, 1k-5k Employees ,1.2k Reviews
206,Crisil,3.8, Public ,Financial Services , 36 years old , Mumbai +46 more, 1k-5k Employees ,1.2k Reviews
207,Allsec Technologies,3.9, Public ,BPO , 23 years old , Bengaluru/Bangalore +18 more, 5k-10k Employees ,1.2k Reviews
208,Microland,3.6, Public ,IT Services & Consulting , 34 years old , Bengaluru/Bangalore +41 more, 1k-5k Employees ,1.2k Reviews
209,ABC,3.9, Public ,Broadcasting , 80 years old , Bengaluru/Bangalore +97 more, 1k-5k Employees (Global) ,1.2k Reviews
210,Spark Minda,3.8, Public ,Auto Components , 65 years old , Bengaluru/Bangalore +53 more, 10k-50k Employees ,1.2k Reviews
211,Procter & Gamble,4.2, Public ,FMCG , 186 years old , Cincinnati +194 more, 10k-50k Employees ,1.1k Reviews
212,DIVI'S Laboratories,3.8, Public ,Healthcare , 33 years old , Hyderabad/Secunderabad +17 more, 10k-50k Employees ,1.1k Reviews
213,USHA International,4.3, Public ,Consumer Electronics & Appliances , 89 years old , Gurgaon/Gurugram +105 more, 1k-5k Employees ,1.1k Reviews
214,KFintech,3.6, Startup ,FinTech , 6 years old , Hyderabad +56 more, 5k-10k Employees ,1.1k Reviews
215,Mercedes-Benz Research & Development India,4, Public ,Automobile , 27 years old , Bengaluru/Bangalore +49 more, 5k-10k Employees ,1.1k Reviews
216,Matrimony.com,4.4, Public ,Internet , 26 years old , Chennai +44 more, 1k-5k Employees ,1.1k Reviews
217,Jet Airways,4.6, Public ,Aviation , 30 years old , Mumbai +45 more, 201-500 Employees ,1.1k Reviews
218,Torrent Power,3.8, Public ,Power , 27 years old , Ahmedabad +33 more, 5k-10k Employees ,1.1k Reviews
219,V-Guard Industries,4.4, Public ,Electrical Equipment , 46 years old , Kochi/Cochin +111 more, 1k-5k Employees ,1.1k Reviews
220,PI Industries,4.2, Public ,Agro Chemicals , 76 years old , Gurgaon/Gurugram +78 more, 1k-5k Employees ,1.1k Reviews
221,Isgec Heavy Engineering,3.9, Public ,Industrial Machinery , 90 years old , Noida +54 more, 1k-5k Employees ,1.1k Reviews
222,HDFC Securities,3.6, Public ,Financial Services , 23 years old , Mumbai +154 more, 1k-5k Employees ,1.1k Reviews
223,Planet Spark,3.7, Startup ,EdTech , 6 years old , Gurgaon +27 more, 51-200 Employees ,1.1k Reviews
224,Varroc Group,3.7, Public ,Auto Components , 35 years old , Aurangabad +24 more, 1k-5k Employees ,1.1k Reviews
